Kingdom,Species,Number,Method,Type,Host,Lamp,Wavelength,Log,Fluence,Protocol,Tailing,Antibiotic_Resistant,Reference,Action_Spectrum
Bacteria,Aeromonas salmonicida,AL 2017,,Veg,,LP,,3,3.1,Y,N,,Liltved & Landfald 1996,N
Bacteria,Aeromonas salmonicida,AL 2017,,Veg,,LP,,4,5.9,Y,N,,Liltved & Landfald 1996,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,LP,,1,8,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,LP,,2,10,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,LP,,3,12,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,LP,,4,14,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,Excimer,222,1,10,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,Excimer,222,2,15,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,Excimer,222,3,18,Y,N,,Clauß 2006,N
Bacteria,Arthrobacter nicotinovorans,ATCC 49919,,Veg,,Excimer,222,4,20,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus,ATCC 11778,,Veg,,LP,,1,6,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus,ATCC 11778,,Veg,,LP,,2,7,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus,ATCC 11778,,Veg,,LP,,3,9,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus,ATCC 11778,,Veg,,LP,,4,12,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus ,ATCC 11778,,Veg,,Excimer,222,1,9,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus ,ATCC 11778,,Veg,,Excimer,222,2,11,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus ,ATCC 11778,,Veg,,Excimer,222,3,14,Y,N,,Clauß 2006,N
Bacteria,Bacillus cereus ,ATCC 11778,,Veg,,Excimer,222,4,18,Y,N,,Clauß 2006,N
Bacteria,Bacillus megaterium, QMB 1551,,Veg,,,265,1,4.6,N,N,,"Donnellan & Stafford
1968",N
Bacteria,Burkholderia mallei,M9,,Veg,,LP,,1,1,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M9,,Veg,,LP,,2,2.4,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M9,,Veg,,LP,,3,3.8,Y,N,,Rose & O’Connell 2009,N
Bacteria,Burkholderia mallei,M9,,Veg,,LP,,4,5.2,Y,N,,Rose & O’Connell 2009,N
